code,name,pct_vol(%),volume,pct_chg(%),pre_close_price,open_price,close_price,high,low
603123,翠微股份,7435.88,467827.35,10.0,7.8,8.58,8.58,8.58,8.46
300797,钢研纳克,4104.48,479375.21,-1.29,27.06,29.77,26.71,29.77,25.16
002314,南山控股,677.62,228518.75,5.88,2.89,2.89,3.06,3.18,2.88
000609,中迪投资,497.7,405394.39,9.96,5.32,5.85,5.85,5.85,5.79
300345,红宇新材,491.81,13369.0,-9.95,10.05,9.05,9.05,9.05,9.05
300221,银禧科技,476.86,740039.81,10.05,5.47,5.66,6.02,6.02,5.56
002703,浙江世宝,466.66,435286.79,10.02,4.79,5.02,5.27,5.27,4.9
600678,四川金顶,441.39,134251.81,10.0,4.6,4.6,5.06,5.06,4.6
600802,福建水泥,419.92,213391.96,6.16,7.3,7.35,7.75,7.77,7.32
603778,乾景园林,407.6,607284.56,-0.18,5.41,5.95,5.4,5.95,5.35
002397,梦洁股份,397.35,84618.29,4.4,5.0,4.97,5.22,5.3,4.93
000933,神火股份,376.4,1329134.01,10.04,4.58,4.61,5.04,5.04,4.6
603239,浙江仙通,361.35,53724.4,3.21,9.66,9.64,9.97,9.97,9.61
600188,兖州煤业,330.67,608486.03,7.71,9.21,9.27,9.92,10.02,9.27
000807,云铝股份,318.82,675607.14,6.29,4.45,4.45,4.73,4.73,4.45
002125,湘潭电化,313.34,101405.4,5.33,4.5,4.5,4.74,4.83,4.5
000732,泰禾集团,313.01,680240.14,6.61,5.6,5.6,5.97,6.16,5.6
600976,健民集团,310.93,44871.89,8.39,16.1,16.2,17.45,17.45,16.11
600215,长春经开,310.0,42246.06,-2.1,6.66,6.66,6.52,6.66,6.45
000671,阳光城,308.72,814051.81,10.08,6.55,6.57,7.21,7.21,6.52
