code,name,pct_highest(%),pct_chg(%),pre_close_price,open_price,close_price,high,low,volume
002296,辉煌科技,-5.0431,4.47,7.39,7.39,7.72,8.13,7.39,468132.17
300064,豫金刚石,-5.3672,3.72,3.23,3.23,3.35,3.54,3.23,152512.87
002549,凯美特气,-6.3793,2.26,5.31,5.58,5.43,5.8,5.39,74666.4
002312,三泰控股,-6.3736,1.91,4.18,4.55,4.26,4.55,4.22,319295.51
300364,中文在线,-6.4133,1.29,3.89,4.05,3.94,4.21,3.91,252251.8
300643,万通智控,-5.602,0.98,11.18,11.24,11.29,11.96,10.98,182936.22
000536,华映科技,-5.9259,0.0,2.54,2.63,2.54,2.7,2.53,398961.56
002659,凯文教育,-5.8824,0.0,6.4,6.34,6.4,6.8,6.3,58887.0
600747,退大控,-6.6667,0.0,0.28,0.28,0.28,0.3,0.28,139856.47
603778,乾景园林,-9.2437,-0.18,5.41,5.95,5.4,5.95,5.35,607284.56
002395,双象股份,-6.4789,-0.68,23.4,23.61,23.24,24.85,23.21,14743.01
688023,安恒信息,-5.5538,-0.86,118.01,120.0,117.0,123.88,115.26,11274.61
300522,世名科技,-8.646,-1.18,17.0,18.39,16.8,18.39,16.58,70751.63
300797,钢研纳克,-10.2788,-1.29,27.06,29.77,26.71,29.77,25.16,479375.21
300229,拓尔思,-5.823,-1.7,12.34,12.47,12.13,12.88,11.8,283897.9
603093,南华期货,-5.1095,-2.49,25.33,25.81,24.7,26.03,23.52,225850.64
300278,华昌达,-9.1503,-2.57,4.28,4.47,4.17,4.59,4.08,324217.77
002287,奇正藏药,-7.4561,-2.59,21.66,22.8,21.1,22.8,20.92,26417.6
002808,恒久科技,-5.1282,-2.63,11.02,10.89,10.73,11.31,10.56,73004.9
603009,北特科技,-5.4348,-2.66,7.15,7.13,6.96,7.36,6.82,74800.96
