code,name,ma_up_count,pct_chg(%),MA2,pct_chg_2(%),MA3,pct_chg_3(%),MA5,pct_chg_5(%),MA10,pct_chg_10(%),MA20,pct_chg_20(%),MA30,pct_chg_30(%),pre_close_price,open_price,close_price,high,low,volume
603022,新通联,34,-9.92,14.75,-17.23,15.46,-21.42,16.18,-7.91,15.67,-3.98,14.87,26.63,12.99,59.23,15.52,14.8,13.98,15.26,13.97,171298.57
002058,威尔泰,24,1.68,19.87,1.68,19.81,3.25,19.63,3.35,19.24,12.65,18.08,27.09,17.08,34.88,19.7,19.7,20.03,20.07,19.51,22001.26
002332,仙琚制药,21,0.59,10.22,0.99,10.2,-4.38,10.28,2.3,9.94,10.22,9.46,17.28,9.1,24.7,10.19,10.07,10.25,10.63,10.01,355915.73
002690,美亚光电,21,0.19,37.35,-3.96,37.87,-6.34,38.69,-3.61,38.49,2.3,37.53,4.33,36.28,7.72,37.31,37.35,37.38,37.77,36.0,50976.74
603326,我乐家居,21,-0.9,14.36,-1.65,14.41,-2.19,14.49,-2.06,14.44,2.22,13.89,11.64,13.26,20.79,14.42,14.38,14.29,14.44,14.21,14550.11
600285,羚锐制药,19,-0.95,10.45,-3.53,10.56,-2.62,10.64,-4.59,10.59,2.87,10.21,17.78,9.66,22.93,10.5,10.52,10.4,10.66,10.27,108663.23
300003,乐普医疗,19,-1.02,34.99,-4.32,35.45,-5.1,35.85,2.5,34.51,12.73,32.75,26.58,31.0,27.93,35.17,35.41,34.81,35.5,34.5,268312.87
600809,山西汾酒,19,-1.66,93.71,-5.62,95.29,-5.86,96.61,-3.83,96.42,2.18,93.63,8.3,90.77,16.3,94.49,94.48,92.92,95.77,91.45,59182.59
000513,丽珠集团,19,-2.7,31.42,-7.13,32.07,-7.52,32.55,-5.58,32.47,-1.27,31.71,5.73,30.63,9.39,31.85,31.63,30.99,31.7,30.48,95809.23
002605,姚记科技,19,-4.02,16.58,1.06,16.41,-2.17,16.56,2.33,15.8,19.06,14.77,19.41,14.23,29.92,16.92,16.79,16.24,17.85,16.15,142166.72
000043,中航善达,19,-4.21,20.91,-8.29,21.38,-8.21,21.78,-7.8,21.74,-1.49,21.07,4.44,20.44,7.8,21.36,21.4,20.46,21.45,20.25,120164.69
002028,思源电气,18,0.75,13.32,-0.82,13.37,-0.22,13.42,1.36,13.32,2.77,13.04,10.4,12.5,14.08,13.27,13.36,13.37,13.5,13.05,78720.18
600406,国电南瑞,18,0.17,23.51,-1.47,23.63,-1.75,23.78,-2.69,23.61,4.58,22.9,9.04,22.43,4.58,23.49,23.47,23.53,23.98,23.34,148908.66
002216,三全食品,18,-1.32,12.0,-4.87,12.18,-6.36,12.42,-3.25,12.4,-1.81,11.79,12.45,11.42,10.47,12.08,12.1,11.92,12.19,11.67,51900.56
002022,科华生物,18,-2.51,11.42,-6.63,11.63,-5.77,11.73,-2.42,11.63,3.11,11.24,7.23,10.92,11.14,11.56,11.5,11.27,11.6,11.07,130867.39
300357,我武生物,18,-8.38,49.99,-17.54,52.65,-18.37,54.95,-12.73,54.03,-0.23,50.7,6.46,48.6,13.92,52.17,51.02,47.8,51.17,47.04,218993.64
002507,涪陵榨菜,17,-0.08,25.02,-1.3,25.13,-2.5,25.39,-2.65,25.34,0.97,24.73,8.6,24.11,10.81,25.03,25.0,25.01,25.28,24.3,104106.46
002821,凯莱英,17,-3.49,129.75,-11.63,134.57,-11.32,137.85,-4.01,135.01,-1.03,131.83,4.98,129.09,3.31,132.05,132.05,127.44,132.95,125.5,45328.53
300319,麦捷科技,17,-9.6,10.51,-9.27,10.67,-8.52,10.81,-6.38,10.61,-0.3,10.2,8.6,9.74,39.39,11.04,10.85,9.98,10.99,9.94,379687.59
603035,常熟汽饰,16,2.41,10.07,2.1,10.04,2.31,10.03,2.0,9.99,6.81,9.74,8.52,9.51,12.22,9.95,9.94,10.19,10.33,9.92,58996.11
