code,name,up_down_flag,limit_up,limit_down,limit_up_used,limit_up_ctn,limit_up_count,up_ctn,up_count,up_count_true,cb_code,cb_name,pct_chg(%),pre_close_price,open_price,close_price,high,low,volume,pct_vol(%),MA5,pct_chg_5(%),MA10,pct_chg_10(%),MA20,pct_chg_20(%),MA30,pct_chg_30(%),ma_up,ma_up_count
000609,中迪投资,1,True,False,False,True,4,True,7,0,,,10.09,5.85,5.84,6.44,6.44,5.63,591999.63,46.03,5.37,48.05,4.82,48.39,4.65,35.86,4.7,29.06,False,0
603555,贵人鸟,1,True,False,False,True,4,True,6,0,,,10.04,4.68,4.68,5.15,5.15,4.53,458791.5,131.92,4.29,49.71,3.86,46.31,3.77,31.38,3.81,26.85,False,0
600678,四川金顶,1,True,False,False,True,2,True,3,1,,,10.08,5.06,5.56,5.57,5.57,5.23,581502.69,333.14,4.88,19.27,4.74,20.56,4.78,12.3,4.83,10.08,False,0
603157,拉夏贝尔,1,True,False,False,True,2,True,4,2,,,10.06,4.77,5.11,5.25,5.25,5.03,82679.67,57.07,4.59,21.81,4.4,25.0,4.4,9.83,4.53,4.17,False,0
601599,鹿港文化,1,True,False,False,True,2,True,3,2,,,10.0,3.5,3.53,3.85,3.85,3.28,976179.18,1079.94,3.34,21.45,3.12,36.52,3.01,26.23,3.02,25.82,False,0
002108,沧州明珠,1,True,False,False,True,2,True,4,1,,,9.92,3.53,3.64,3.88,3.88,3.55,950319.33,164.69,3.4,20.5,3.3,20.12,3.34,12.14,3.37,11.17,False,0
002332,仙琚制药,1,True,False,False,False,1,True,3,0,,,10.05,10.25,10.2,11.28,11.28,9.92,657913.93,84.85,10.52,12.02,10.18,27.31,9.6,32.71,9.2,36.73,True,22
300338,开元股份,1,True,False,False,False,1,False,1,1,,,10.05,10.25,10.3,11.28,11.28,10.18,69557.84,36.16,11.01,0.45,11.04,1.35,10.7,8.78,10.68,4.44,False,0
300591,万里马,1,True,False,False,False,1,True,2,1,123032,万里转债,10.04,5.58,5.98,6.14,6.14,5.98,115088.79,418.1,5.66,11.03,5.56,12.87,5.58,5.14,5.69,0.82,False,0
002280,联络互动,1,True,False,False,False,1,False,1,1,,,10.03,3.49,3.6,3.84,3.84,3.56,326916.3,-41.32,3.71,-0.52,3.7,4.07,3.75,6.08,3.64,16.01,False,0
300735,光弘科技,1,True,False,False,False,1,False,1,3,,,10.02,23.96,24.46,26.36,26.36,24.46,286438.86,141.95,25.74,-2.44,25.51,9.33,25.32,2.17,25.71,-0.34,False,0
600152,维科技术,1,True,False,False,False,1,False,1,1,,,10.02,5.59,5.61,6.15,6.15,5.61,87409.57,134.98,5.74,10.41,5.58,12.23,5.68,-18.54,5.95,-1.76,False,0
300767,震安科技,1,True,False,False,False,1,False,1,1,,,10.01,42.45,42.88,46.7,46.7,41.3,27258.0,-31.54,44.92,1.52,45.42,0.41,43.78,17.16,42.71,4.24,False,0
300573,兴齐眼药,1,True,False,False,False,1,False,1,1,,,10.0,80.06,81.64,88.07,88.07,81.0,22803.58,16.8,85.36,-0.01,85.37,7.98,85.74,-1.6,87.21,5.41,False,0
300598,诚迈科技,1,True,False,False,False,1,False,1,2,,,10.0,93.21,102.53,102.53,102.53,102.53,13954.19,-79.05,100.33,2.53,97.62,25.42,91.47,30.53,88.16,64.63,True,7
603879,永悦科技,1,True,False,False,False,1,False,1,4,,,10.0,10.8,11.0,11.88,11.88,10.8,114961.0,-15.37,11.82,-4.65,11.69,8.49,11.27,5.23,10.83,29.69,True,10
603085,天成自控,1,True,False,False,False,1,False,1,0,,,9.99,7.41,7.4,8.15,8.15,7.37,61481.94,324.69,7.64,7.66,7.54,5.98,7.8,-2.86,7.99,-5.56,False,0
000859,国风塑业,1,True,False,False,False,1,True,3,0,,,9.98,5.11,5.0,5.62,5.62,4.95,1372947.82,42.09,5.17,16.84,4.7,40.85,4.43,24.34,4.44,25.73,False,0
002026,山东威达,1,True,False,False,False,1,True,2,2,,,9.98,4.81,4.9,5.29,5.29,4.9,92043.55,404.38,4.89,10.67,4.82,9.52,4.79,10.44,4.87,-3.29,False,0
300352,北信源,1,True,False,False,False,1,False,1,2,,,9.97,7.12,7.13,7.83,7.83,7.08,1369192.5,100.52,7.56,0.9,7.51,11.7,7.2,12.34,7.21,14.14,False,0
